order_id,user_id,order_date,city_tier,pincode,order_value_inr,cart_value,discount_amount,shipping_fee,item_category,payment_method,time_of_day,device_os,app_version,seller_type,warehouse_zone,delivery_distance_km,delivery_attempts,user_tenure_days,historical_orders,historical_rto_count,historical_rto_rate,customer_lifetime_value,previous_cod_orders,previous_cod_rtos,is_first_order,new_vs_returning_user,rto_status
ORD1296876,U163638,2024-01-01 01:32:18,Tier 1,241978,620,630,10,0,Fashion,Prepaid,Late_Night,Android,7.0.0,Flagship_1P,South,2.9,1,603,8,2,0.25,12260,2,1,False,Returning,False
ORD1012646,U168128,2024-01-01 01:53:07,Tier 2,644100,4070,4720,650,0,Home & Kitchen,CoD,Late_Night,Android,6.4.0,Marketplace_3P,East,6.7,1,258,4,0,0.0,13810,2,0,False,Returning,True
ORD1309782,U136347,2024-01-01 02:15:27,Tier 3,641913,3570,3830,260,0,Fashion,CoD,Late_Night,iOS,7.0.0,Flagship_1P,East,14.8,1,227,5,1,0.2,10130,2,1,False,Returning,False
ORD1411912,U157364,2024-01-01 02:20:09,Tier 3,300318,1380,1630,250,0,Fashion,CoD,Late_Night,Android,6.3.1,Marketplace_3P,Central,9.9,2,118,2,0,0.0,2100,1,0,False,Returning,False
ORD1232784,U173518,2024-01-01 07:05:31,Tier 2,623801,1730,2280,550,0,Fashion,CoD,Morning,iOS,6.4.0,Marketplace_3P,West,3.9,1,615,8,1,0.125,11690,3,1,False,Returning,False
ORD1084734,U101651,2024-01-01 08:35:46,Tier 2,754354,3050,4040,990,0,Fashion,Prepaid,Morning,Android,6.2.0,Marketplace_3P,South,4.4,1,28,2,0,0.0,2880,1,0,False,Returning,False
ORD1281141,U105434,2024-01-01 08:39:59,Tier 1,572334,620,740,120,0,Toys,Prepaid,Morning,Android,6.4.0,Local_SmallSeller,East,7.2,1,789,5,0,0.0,5170,3,0,False,Returning,False
ORD1238560,U175072,2024-01-01 09:05:02,Tier 2,258675,1330,1740,410,0,Home & Kitchen,Prepaid,Morning,Android,6.2.0,Marketplace_3P,East,3.8,2,552,8,3,0.375,12070,6,3,False,Returning,False
ORD1425296,U109103,2024-01-01 10:33:05,Tier 1,302918,11220,13520,2300,0,Electronics,Prepaid,Morning,iOS,6.2.0,Local_SmallSeller,Central,8.8,1,353,7,0,0.0,7860,2,0,False,Returning,False
ORD1158226,U180937,2024-01-01 15:01:16,Tier 3,198196,7790,9200,1410,0,Appliances,CoD,Afternoon,Android,7.0.0,Marketplace_3P,South,43.7,1,438,9,0,0.0,15570,2,0,False,Returning,True
ORD1333974,U184046,2024-01-01 15:28:42,Tier 3,688257,640,650,10,0,Grocery,Prepaid,Afternoon,iOS,6.3.1,Marketplace_3P,West,8.6,1,1237,8,3,0.375,7320,5,3,False,Returning,False
ORD1422127,U131394,2024-01-01 15:41:11,Tier 2,215845,1160,1470,310,0,Footwear,Prepaid,Afternoon,Android,6.3.1,Flagship_1P,South,3.7,1,26,2,0,0.0,2960,1,0,False,Returning,False
ORD1157314,U121099,2024-01-01 18:09:37,Tier 1,272378,18700,23910,5210,0,Appliances,Prepaid,Evening,iOS,7.0.0,Marketplace_3P,Central,2.4,1,1016,14,2,0.143,13330,6,2,False,Returning,False
ORD1297344,U173058,2024-01-01 21:29:43,Tier 2,185455,640,830,190,0,Beauty,CoD,Evening,Android,6.5.2,Flagship_1P,South,9.7,2,69,2,0,0.0,3780,1,0,False,Returning,True
ORD1136548,U109622,2024-01-01 22:28:08,Tier 1,816425,8720,10800,2080,0,Mobiles,Prepaid,Late_Night,iOS,7.0.0,Flagship_1P,North,22.7,1,1021,8,3,0.375,3490,2,2,False,Returning,False
ORD1444803,U166875,2024-01-01 22:40:28,Tier 3,255962,1260,1590,330,0,Footwear,CoD,Late_Night,Android,6.5.2,Local_SmallSeller,Central,23.9,2,1189,15,0,0.0,12060,8,0,False,Returning,False
ORD1217275,U207439,2024-01-01 22:53:29,Tier 2,624760,450,460,10,60,Fashion,Prepaid,Late_Night,iOS,6.3.1,Marketplace_3P,Central,36.6,1,43,2,0,0.0,1120,1,0,False,Returning,False
ORD1237515,U169753,2024-01-02 00:06:26,Tier 1,424719,1210,1600,390,0,Toys,Prepaid,Late_Night,Android,6.5.2,Marketplace_3P,West,1.9,1,76,1,0,0.0,820,1,0,True,New,False
ORD1337886,U175637,2024-01-02 02:01:06,Tier 2,164345,7940,8650,710,0,Electronics,CoD,Late_Night,Android,7.0.0,Marketplace_3P,North,5.4,1,718,13,2,0.154,28410,10,2,False,Returning,False
ORD1166494,U122130,2024-01-02 02:11:37,Tier 1,138952,8250,9870,1620,0,Electronics,Prepaid,Late_Night,iOS,7.0.0,Marketplace_3P,North,17.9,1,518,4,1,0.25,11350,2,1,False,Returning,False
ORD1211373,U123900,2024-01-02 03:51:22,Tier 2,746044,1620,1710,90,0,Grocery,CoD,Late_Night,Android,6.4.0,Marketplace_3P,West,7.3,2,1282,13,4,0.308,4580,10,4,False,Returning,False
ORD1312225,U127199,2024-01-02 11:25:46,Tier 2,216616,1310,1750,440,0,Fashion,Prepaid,Morning,Android,6.5.2,Marketplace_3P,East,7.2,1,1454,11,2,0.182,15070,7,2,False,Returning,False
ORD1468182,U163618,2024-01-02 17:25:41,Tier 3,506968,10310,12620,2310,0,Mobiles,Prepaid,Evening,iOS,7.0.0,Marketplace_3P,West,13.8,1,1488,31,1,0.032,10820,23,1,False,Returning,False
ORD1324498,U169581,2024-01-03 03:21:43,Tier 2,794953,15590,20000,4410,0,Mobiles,CoD,Late_Night,iOS,6.2.0,Marketplace_3P,East,11.5,1,247,1,0,0.0,1300,0,0,True,New,False
ORD1093940,U171001,2024-01-03 05:18:31,Tier 2,132108,4190,4850,660,0,Electronics,CoD,Morning,Android,6.5.2,Marketplace_3P,East,7.8,3,342,6,1,0.167,5160,3,1,False,Returning,True
ORD1422801,U148547,2024-01-03 05:53:07,Tier 1,621183,2050,2760,710,0,Footwear,CoD,Morning,Android,6.3.1,Marketplace_3P,West,4.3,1,287,6,2,0.333,6230,2,1,False,Returning,False
ORD1313763,U102600,2024-01-03 06:22:28,Tier 1,255370,1360,1580,220,0,Toys,CoD,Morning,Android,6.3.1,Marketplace_3P,South,3.4,1,1295,21,5,0.238,30160,16,5,False,Returning,False
ORD1011326,U100918,2024-01-03 07:03:19,Tier 1,635667,1680,1820,140,0,Fashion,Prepaid,Morning,Android,6.2.0,Local_SmallSeller,South,3.7,1,382,5,0,0.0,11050,1,0,False,Returning,False
ORD1122915,U143877,2024-01-03 07:24:35,Tier 1,544768,17060,20430,3370,0,Appliances,Prepaid,Morning,iOS,6.3.1,Flagship_1P,South,3.8,1,883,13,5,0.385,26960,10,5,False,Returning,False
ORD1001736,U154031,2024-01-03 10:51:25,Tier 1,344225,1480,1480,0,0,Fashion,Prepaid,Morning,Android,6.5.2,Local_SmallSeller,North,2.1,1,1393,16,2,0.125,24840,12,2,False,Returning,False
ORD1483762,U166812,2024-01-03 12:32:29,Tier 3,630670,8940,11870,2930,0,Electronics,CoD,Afternoon,iOS,6.4.0,Marketplace_3P,East,10.4,1,1329,30,6,0.2,58110,17,6,False,Returning,False
ORD1322497,U168085,2024-01-03 15:01:11,Tier 2,387061,2760,3420,660,0,Home & Kitchen,CoD,Afternoon,Android,6.4.0,Marketplace_3P,East,2.1,1,615,6,2,0.333,7160,5,2,False,Returning,False
ORD1272507,U192800,2024-01-03 17:19:53,Tier 1,321196,10830,13610,2780,0,Mobiles,Prepaid,Evening,Android,6.5.2,Marketplace_3P,East,2.5,1,1002,17,7,0.412,17610,10,7,False,Returning,False
ORD1054037,U190627,2024-01-03 19:34:00,Tier 1,678026,2750,3160,410,0,Home & Kitchen,Prepaid,Evening,Android,6.5.2,Marketplace_3P,North,9.5,2,1128,9,3,0.333,10040,4,3,False,Returning,False
ORD1112755,U123636,2024-01-03 21:02:44,Tier 2,770302,1020,1170,150,0,Footwear,Prepaid,Evening,Android,6.2.0,Marketplace_3P,West,17.0,1,71,1,0,0.0,1500,1,0,True,New,False
ORD1017367,U142823,2024-01-03 22:46:24,Tier 3,532440,580,610,30,0,Beauty,CoD,Late_Night,iOS,7.0.0,Marketplace_3P,North,19.4,1,1047,21,9,0.429,16740,18,9,False,Returning,False
ORD1004570,U216429,2024-01-03 23:16:39,Tier 2,745594,1790,2140,350,0,Beauty,CoD,Late_Night,Android,6.4.0,Marketplace_3P,Central,8.9,1,967,10,7,0.7,3240,9,6,False,Returning,True
ORD1127893,U132883,2024-01-03 23:28:56,Tier 3,351559,3730,3940,210,0,Electronics,CoD,Late_Night,Android,7.0.0,Local_SmallSeller,South,17.5,1,258,6,1,0.167,10610,3,1,False,Returning,False
ORD1294189,U172330,2024-01-04 00:45:24,Tier 3,267633,510,560,50,0,Beauty,Prepaid,Late_Night,Android,6.3.1,Flagship_1P,North,6.3,1,296,1,1,1.0,310,1,1,True,New,False
ORD1333622,U201029,2024-01-04 02:34:57,Tier 2,702436,810,940,130,0,Beauty,CoD,Late_Night,Android,7.0.0,Local_SmallSeller,Central,11.9,1,852,12,4,0.333,6810,9,4,False,Returning,False
ORD1277103,U196259,2024-01-04 09:48:30,Tier 2,572087,1580,2000,420,0,Fashion,Prepaid,Morning,Android,7.0.0,Local_SmallSeller,Central,26.6,1,276,3,1,0.333,2160,1,1,False,Returning,False
ORD1126961,U111990,2024-01-04 09:50:30,Tier 2,358960,1970,2580,610,0,Grocery,CoD,Morning,iOS,6.4.0,Marketplace_3P,East,11.6,1,565,7,2,0.286,1900,2,1,False,Returning,False
ORD1271395,U162597,2024-01-04 10:53:16,Tier 3,397546,5920,7460,1540,0,Electronics,CoD,Morning,iOS,6.5.2,Marketplace_3P,West,16.8,1,472,5,2,0.4,8710,3,2,False,Returning,False
ORD1255812,U140806,2024-01-04 10:54:55,Tier 3,204325,1190,1330,140,0,Fashion,Prepaid,Morning,Android,6.2.0,Marketplace_3P,South,8.8,1,358,5,1,0.2,1590,2,1,False,Returning,False
ORD1015768,U121761,2024-01-04 12:23:01,Tier 1,737266,650,730,80,0,Footwear,CoD,Afternoon,Android,6.3.1,Local_SmallSeller,East,9.0,1,357,5,0,0.0,4520,2,0,False,Returning,False
ORD1246673,U157236,2024-01-04 14:33:08,Tier 3,785604,680,700,20,0,Beauty,CoD,Afternoon,Android,6.3.1,Marketplace_3P,East,32.2,3,1301,16,3,0.188,16710,5,3,False,Returning,False
ORD1147986,U182052,2024-01-04 16:25:34,Tier 2,379003,6850,8480,1630,0,Footwear,Prepaid,Afternoon,Android,6.3.1,Marketplace_3P,South,42.9,1,1292,16,4,0.25,39840,5,4,False,Returning,False
ORD1143921,U209627,2024-01-04 16:53:16,Tier 1,476862,6390,7280,890,0,Electronics,Prepaid,Afternoon,Android,6.5.2,Marketplace_3P,South,2.6,1,1136,10,2,0.2,8440,5,2,False,Returning,False
ORD1004716,U152032,2024-01-04 18:51:03,Tier 2,310884,1000,1210,210,0,Toys,Prepaid,Evening,Android,6.4.0,Flagship_1P,West,7.8,1,547,4,2,0.5,6110,3,2,False,Returning,False
ORD1354420,U126096,2024-01-04 19:44:08,Tier 3,316128,780,840,60,0,Fashion,Prepaid,Evening,iOS,7.0.0,Marketplace_3P,South,12.5,2,1466,21,2,0.095,103030,18,2,False,Returning,False
ORD1165959,U134890,2024-01-04 20:41:09,Tier 2,131842,5500,5980,480,0,Electronics,Prepaid,Evening,iOS,7.0.0,Marketplace_3P,West,3.4,1,616,11,0,0.0,23890,6,0,False,Returning,False
ORD1319742,U196405,2024-01-04 23:51:41,Tier 2,565055,470,590,120,60,Books,CoD,Late_Night,Android,7.0.0,Marketplace_3P,Central,2.8,1,953,9,0,0.0,17610,3,0,False,Returning,True
ORD1008729,U206211,2024-01-05 01:13:49,Tier 1,782088,10210,10460,250,0,Mobiles,Prepaid,Late_Night,Android,6.4.0,Local_SmallSeller,Central,18.5,1,935,12,0,0.0,29820,10,0,False,Returning,False
ORD1049911,U138187,2024-01-05 02:25:30,Tier 2,641979,1690,1700,10,0,Fashion,CoD,Late_Night,Android,7.0.0,Local_SmallSeller,South,4.3,1,163,6,0,0.0,8620,5,0,False,Returning,True
ORD1294229,U121036,2024-01-05 08:09:44,Tier 1,445532,4930,6300,1370,0,Home & Kitchen,Prepaid,Morning,Android,6.5.2,Marketplace_3P,West,3.6,1,892,7,0,0.0,17430,5,0,False,Returning,False
ORD1094744,U147538,2024-01-05 09:52:59,Tier 1,306307,2510,3330,820,0,Footwear,CoD,Morning,Android,6.4.0,Marketplace_3P,North,8.6,1,1381,10,2,0.2,27190,3,2,False,Returning,False
