order_value_inr,cart_value,discount_amount,shipping_fee,delivery_distance_km,delivery_attempts,user_tenure_days,historical_orders,historical_rto_count,historical_rto_rate,customer_lifetime_value,previous_cod_orders,previous_cod_rtos,order_hour,order_dow,city_tier,item_category,payment_method,time_of_day,device_os,seller_type,warehouse_zone,new_vs_returning_user,actual_rto,rto_risk_score,risk_band,rto_prob,segment,profit_no_intervention,in_top2_cohort,profit_static_fee50,dynamic_intervention,profit_dynamic
850,1130,280,0,39.9,2,759,12,0,0.0,63770,10,0,7,6,Tier 2,Beauty,Prepaid,Morning,Android,Flagship_1P,East,Returning,0,4.4,Low,0.044000000000000004,Low RTO / High LTV,96.104,False,96.104,Fee_20_COD,102.53897999999998
9890,10190,300,0,1.0,1,405,5,0,0.0,4320,4,0,6,2,Tier 1,Electronics,Prepaid,Morning,Android,Marketplace_3P,South,Returning,0,4.0,Low,0.04,Returning / Core,1166.976,False,1166.976,Prepaid_Incentive,1177.8792
15010,19350,4340,0,4.2,1,398,4,1,0.25,6970,3,1,19,3,Tier 1,Electronics,CoD,Evening,Android,Local_SmallSeller,North,Returning,1,14.8,Low,0.14800000000000002,High RTO / Low LTV,1697.5407999999998,False,1697.5407999999998,Prepaid_Incentive,1754.5533599999999
3030,3490,460,0,21.1,2,134,3,0,0.0,3680,1,0,12,4,Tier 2,Fashion,Prepaid,Afternoon,Android,Flagship_1P,East,Returning,0,7.6,Low,0.076,Returning / Core,346.78880000000004,False,346.78880000000004,Prepaid_Incentive,356.03496
1210,1360,150,0,20.6,1,1054,9,2,0.222,6400,3,2,0,2,Tier 3,Fashion,Prepaid,Late_Night,Android,Marketplace_3P,West,Returning,0,8.7,Low,0.087,Returning / Core,132.2892,False,132.2892,Fee_50_COD,141.266196
2610,3310,700,0,8.5,2,151,3,1,0.333,7300,2,1,12,5,Tier 1,Footwear,CoD,Afternoon,Android,Marketplace_3P,West,Returning,0,9.7,Low,0.09699999999999999,Returning / Core,293.37319999999994,False,293.37319999999994,Prepaid_Incentive,304.27793999999994
8230,10280,2050,0,10.9,1,165,3,1,0.333,8010,1,1,18,1,Tier 1,Electronics,CoD,Evening,iOS,Local_SmallSeller,West,Returning,0,19.6,Low,0.196,High RTO / Low LTV,903.4767999999999,False,903.4767999999999,Prepaid_Incentive,949.7445599999999
1280,1300,20,0,19.8,2,702,11,4,0.364,12880,7,4,19,3,Tier 2,Fashion,CoD,Evening,iOS,Marketplace_3P,West,Returning,0,13.7,Low,0.13699999999999998,Returning / Core,132.88559999999998,False,132.88559999999998,Prepaid_Incentive,144.27851999999996
970,1070,100,0,21.8,1,77,3,1,0.333,1460,2,1,23,5,Tier 3,Beauty,Prepaid,Late_Night,Android,Flagship_1P,South,Returning,0,11.0,Low,0.11,Returning / Core,101.132,False,101.132,Fee_50_COD,118.18116000000002
1720,2260,540,0,16.5,1,983,6,0,0.0,19470,1,0,12,3,Tier 2,Beauty,CoD,Afternoon,Android,Local_SmallSeller,North,Returning,0,11.0,Low,0.11,Returning / Core,187.83199999999997,False,187.83199999999997,Prepaid_Incentive,198.04439999999997
2110,2570,460,0,21.9,3,86,1,0,0.0,3150,1,0,10,2,Tier 2,Footwear,Prepaid,Morning,Android,Local_SmallSeller,North,New,0,12.3,Low,0.12300000000000001,New Users,230.5188,False,230.5188,Prepaid_Incentive,242.99346000000003
3480,4470,990,0,7.9,1,76,4,0,0.0,8310,2,0,5,6,Tier 3,Fashion,CoD,Morning,Android,Local_SmallSeller,West,Returning,0,16.8,Low,0.168,High RTO / Low LTV,377.4144,False,377.4144,Prepaid_Incentive,399.51648
7550,8730,1180,0,38.1,1,1186,15,2,0.133,23980,9,2,7,3,Tier 3,Electronics,CoD,Morning,iOS,Marketplace_3P,Central,Returning,0,26.9,Medium,0.26899999999999996,High RTO / High LTV,797.862,True,651.87306,Prepaid_Incentive,857.3379
2050,2350,300,0,25.5,1,1413,22,10,0.455,17880,14,10,14,6,Tier 3,Home & Kitchen,Prepaid,Afternoon,Android,Marketplace_3P,South,Returning,0,8.7,Low,0.087,Returning / Core,230.166,False,230.166,Prepaid_Incentive,238.8747
910,910,0,0,24.2,1,1221,16,3,0.188,21110,10,3,14,2,Tier 3,Toys,Prepaid,Afternoon,Android,Flagship_1P,Central,Returning,0,6.5,Low,0.065,Low RTO / High LTV,100.33399999999999,False,100.33399999999999,Fee_20_COD,106.44070499999997
300,390,90,40,57.7,2,1468,30,8,0.267,44410,24,8,13,3,Tier 3,Grocery,CoD,Afternoon,Android,Flagship_1P,West,Returning,0,17.5,Low,0.175,High RTO / High LTV,16.400000000000002,False,16.400000000000002,Fee_20_COD,33.723
4000,4430,430,0,4.3,1,1285,12,4,0.333,36440,8,4,10,5,Tier 1,Home & Kitchen,Prepaid,Morning,Android,Local_SmallSeller,North,Returning,0,3.7,Low,0.037000000000000005,Low RTO / High LTV,470.38,False,470.38,Prepaid_Incentive,475.671
2530,3350,820,0,39.5,1,1100,11,3,0.273,10020,3,2,20,0,Tier 3,Footwear,CoD,Evening,Android,Marketplace_3P,West,Returning,0,16.8,Low,0.168,High RTO / Low LTV,269.7984,False,269.7984,Prepaid_Incentive,288.38928000000004
850,1140,290,0,6.4,2,76,3,0,0.0,5810,2,0,6,6,Tier 2,Fashion,CoD,Morning,Android,Marketplace_3P,North,Returning,1,9.7,Low,0.09699999999999999,Returning / Core,89.002,False,89.002,Fee_50_COD,108.81126
1810,2130,320,0,31.6,1,1222,17,4,0.235,62710,11,4,0,5,Tier 3,Toys,CoD,Late_Night,Android,Marketplace_3P,North,Returning,0,19.6,Low,0.196,High RTO / High LTV,183.4096,False,183.4096,Prepaid_Incentive,201.99432000000002
4450,5820,1370,0,14.7,1,905,9,2,0.222,13000,4,2,20,0,Tier 2,Electronics,CoD,Evening,Android,Flagship_1P,South,Returning,0,13.7,Low,0.13699999999999998,Returning / Core,495.914,False,495.914,Prepaid_Incentive,516.8613
920,1190,270,0,15.0,2,1149,9,4,0.444,16090,7,4,19,3,Tier 2,Fashion,CoD,Evening,Android,Marketplace_3P,West,Returning,0,13.7,Low,0.13699999999999998,Returning / Core,91.6584,False,91.6584,Fee_50_COD,111.49279200000004
11000,12610,1610,0,5.8,1,1038,13,1,0.077,28200,10,1,7,5,Tier 1,Electronics,CoD,Morning,Android,Marketplace_3P,North,Returning,0,8.7,Low,0.087,Low RTO / High LTV,1273.02,False,1273.02,Prepaid_Incentive,1298.859
8080,9140,1060,0,5.2,3,1079,12,7,0.583,21650,4,4,17,4,Tier 1,Mobiles,Prepaid,Evening,Android,Flagship_1P,South,Returning,0,6.7,Low,0.067,Low RTO / High LTV,941.2455999999999,False,941.2455999999999,Prepaid_Incentive,956.8405199999999
2760,3090,330,0,12.0,2,1163,11,3,0.273,6370,7,3,11,5,Tier 2,Home & Kitchen,CoD,Morning,Android,Flagship_1P,West,Returning,0,11.0,Low,0.11,Returning / Core,308.0559999999999,False,308.0559999999999,Prepaid_Incentive,320.7851999999999
