order_value_inr,cart_value,discount_amount,shipping_fee,delivery_distance_km,delivery_attempts,user_tenure_days,historical_orders,historical_rto_count,historical_rto_rate,customer_lifetime_value,previous_cod_orders,previous_cod_rtos,order_hour,order_dow,city_tier,item_category,payment_method,time_of_day,device_os,seller_type,warehouse_zone,new_vs_returning_user,actual_rto,rto_risk_score,risk_band
850,1130,280,0,39.9,2,759,12,0,0.0,63770,10,0,7,6,Tier 2,Beauty,Prepaid,Morning,Android,Flagship_1P,East,Returning,0,4.4,Low
9890,10190,300,0,1.0,1,405,5,0,0.0,4320,4,0,6,2,Tier 1,Electronics,Prepaid,Morning,Android,Marketplace_3P,South,Returning,0,4.0,Low
15010,19350,4340,0,4.2,1,398,4,1,0.25,6970,3,1,19,3,Tier 1,Electronics,CoD,Evening,Android,Local_SmallSeller,North,Returning,1,14.8,Low
3030,3490,460,0,21.1,2,134,3,0,0.0,3680,1,0,12,4,Tier 2,Fashion,Prepaid,Afternoon,Android,Flagship_1P,East,Returning,0,7.6,Low
1210,1360,150,0,20.6,1,1054,9,2,0.222,6400,3,2,0,2,Tier 3,Fashion,Prepaid,Late_Night,Android,Marketplace_3P,West,Returning,0,8.7,Low
2610,3310,700,0,8.5,2,151,3,1,0.333,7300,2,1,12,5,Tier 1,Footwear,CoD,Afternoon,Android,Marketplace_3P,West,Returning,0,9.7,Low
8230,10280,2050,0,10.9,1,165,3,1,0.333,8010,1,1,18,1,Tier 1,Electronics,CoD,Evening,iOS,Local_SmallSeller,West,Returning,0,19.6,Low
1280,1300,20,0,19.8,2,702,11,4,0.364,12880,7,4,19,3,Tier 2,Fashion,CoD,Evening,iOS,Marketplace_3P,West,Returning,0,13.7,Low
970,1070,100,0,21.8,1,77,3,1,0.333,1460,2,1,23,5,Tier 3,Beauty,Prepaid,Late_Night,Android,Flagship_1P,South,Returning,0,11.0,Low
1720,2260,540,0,16.5,1,983,6,0,0.0,19470,1,0,12,3,Tier 2,Beauty,CoD,Afternoon,Android,Local_SmallSeller,North,Returning,0,11.0,Low
2110,2570,460,0,21.9,3,86,1,0,0.0,3150,1,0,10,2,Tier 2,Footwear,Prepaid,Morning,Android,Local_SmallSeller,North,New,0,12.3,Low
3480,4470,990,0,7.9,1,76,4,0,0.0,8310,2,0,5,6,Tier 3,Fashion,CoD,Morning,Android,Local_SmallSeller,West,Returning,0,16.8,Low
7550,8730,1180,0,38.1,1,1186,15,2,0.133,23980,9,2,7,3,Tier 3,Electronics,CoD,Morning,iOS,Marketplace_3P,Central,Returning,0,26.9,Medium
2050,2350,300,0,25.5,1,1413,22,10,0.455,17880,14,10,14,6,Tier 3,Home & Kitchen,Prepaid,Afternoon,Android,Marketplace_3P,South,Returning,0,8.7,Low
910,910,0,0,24.2,1,1221,16,3,0.188,21110,10,3,14,2,Tier 3,Toys,Prepaid,Afternoon,Android,Flagship_1P,Central,Returning,0,6.5,Low
300,390,90,40,57.7,2,1468,30,8,0.267,44410,24,8,13,3,Tier 3,Grocery,CoD,Afternoon,Android,Flagship_1P,West,Returning,0,17.5,Low
4000,4430,430,0,4.3,1,1285,12,4,0.333,36440,8,4,10,5,Tier 1,Home & Kitchen,Prepaid,Morning,Android,Local_SmallSeller,North,Returning,0,3.7,Low
2530,3350,820,0,39.5,1,1100,11,3,0.273,10020,3,2,20,0,Tier 3,Footwear,CoD,Evening,Android,Marketplace_3P,West,Returning,0,16.8,Low
850,1140,290,0,6.4,2,76,3,0,0.0,5810,2,0,6,6,Tier 2,Fashion,CoD,Morning,Android,Marketplace_3P,North,Returning,1,9.7,Low
1810,2130,320,0,31.6,1,1222,17,4,0.235,62710,11,4,0,5,Tier 3,Toys,CoD,Late_Night,Android,Marketplace_3P,North,Returning,0,19.6,Low
